accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s
0.5248514851485149,0.5462306701030928,0.6311185557416713,0.5856143683619722,0.0360693937134598,0.0011888450244441,0.0344796320230388,0.0234300885349512,0.0001713633537292,0.5314851485148515,0.1369216778124229,1.0256178379058838,-95.64553833007812,-99.51342010498048,A7,concat,0,42,"[""price""]",29655,10100,9251,0.0360693937134598,35,1,0.005,64,20,1.0,64,0.0001,0.5,195.7246708869934
0.5438026596284641,0.5598827470686767,0.749439461883408,0.6409395973154363,0.0543742264919808,0.0005236674915067,0.0228837822814932,0.0177837759256362,-0.003605842590332,0.529286366866308,1.067933548282338,1.1889079809188845,28990644.0,-64.4241714477539,A7,concat,1,42,"[""price""]",39755,9851,9251,0.0543742264919808,72,1,0.005,64,20,1.0,64,0.0001,0.5,515.8815181255341
0.4978454754985469,0.509056544337691,0.6305111197815061,0.5633115468409586,-0.0122303496663082,0.0005630223313346,0.0237280916075155,0.0182394068688154,-0.0099352598190307,0.5136787253231787,-0.1473752335696981,0.976254940032959,-99.35072326660156,-99.79946899414062,A7,concat,2,42,"[""price""]",49606,9979,9251,-0.0122303496663082,62,1,0.005,64,20,1.0,64,0.0001,0.5,535.9733288288116
0.5037022213327996,0.5206691020957508,0.5232850241545893,0.5219737856592136,0.0059589645722004,0.0005280639743432,0.0229796426069519,0.0180548522621393,-0.0020755529403686,0.5144086451871123,0.5142154982262518,1.085716724395752,12163.15234375,-72.06607055664062,A7,concat,3,42,"[""price""]",59585,9994,9251,0.0059589645722004,81,1,0.005,64,20,1.0,64,0.0001,0.5,849.510087966919
0.5201595037660611,0.5421511627906976,0.622185154295246,0.5794174757281554,0.0273353399203709,0.0003641742805484,0.0190833508731686,0.0149361435323953,-0.0025187730789184,0.5268054940186088,0.4164389916610344,1.069079875946045,320.4856872558594,-62.74116516113281,A7,concat,4,42,"[""price""]",69579,4514,9251,0.0273353399203709,56,1,0.005,64,20,1.0,64,0.0001,0.5,627.1757400035858
0.5262376237623763,0.5575117370892019,0.5304299274148521,0.5436337625178826,0.0517999508732899,0.0011900668032467,0.0344973448724207,0.0234164278954267,-0.0008561611175537,0.5324752475247525,0.1362078628415674,1.0254826545715332,-95.73870086669922,-99.59986114501952,A7,concat,0,123,"[""price""]",29655,10100,9251,0.0517999508732899,35,1,0.005,64,20,1.0,64,0.0001,0.5,166.23977375030518
0.5442087097756573,0.5723640026863667,0.6369581464872944,0.6029359745313053,0.0721633302760579,0.0005207540816627,0.0228200368462179,0.0176469609141349,0.0019776225090026,0.5449192975332453,1.423248706805231,1.259416580200195,4392642560.0,-42.8328742980957,A7,concat,1,123,"[""price""]",39755,9851,9251,0.0721633302760579,71,1,0.005,64,20,1.0,64,0.0001,0.5,414.0916578769684
0.4901292714700871,0.5050371155885471,0.371634802965275,0.428186109238031,-0.0134782092503538,0.000644467305392,0.0253863606173084,0.0190659370273351,-0.1560293436050415,0.512175568694258,-0.0350362000845844,0.994303286075592,-96.5376205444336,-98.99581146240234,A7,concat,2,123,"[""price""]",49606,9979,9251,-0.0134782092503538,21,1,0.005,64,20,1.0,64,0.0001,0.5,148.92938899993896
0.501300780468281,0.520427807486631,0.4701449275362319,0.494010152284264,0.0049102695340079,0.0005279066972434,0.022976220255809,0.0180732160806655,-0.0017770528793334,0.5153091855113068,0.5313030594870747,1.0886880159378052,15632.2001953125,-73.69640350341797,A7,concat,3,123,"[""price""]",59585,9994,9251,0.0049102695340079,64,1,0.005,64,20,1.0,64,0.0001,0.5,532.911514043808
0.4982277359326539,0.5356951154052604,0.4161801501251042,0.4684346397559258,0.0074905618154685,0.0003631575382314,0.0190566927411726,0.0149276694282889,0.0002802610397338,0.5312361541869739,0.5978952753307814,1.100657343864441,1021.6441040039062,-46.50352478027344,A7,concat,4,123,"[""price""]",69579,4514,9251,0.0074905618154685,28,1,0.005,64,20,1.0,64,0.0001,0.5,259.87991404533386
