experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha,quantile_coverage_80,quantile_interval_width
v3_a4_retest_A7,2a06ea9721d173376b901e65767e2eea7747b9e32f737bb90d7974a8572662e9,789,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.04992093320981976,0.5256319155415694,0.549155812831645,-0.08290814240218869,0.023770703494570028,0.6215584463961399,0.014493669137229067,-0.011484066773723711,30436,9112,9851,195021,47,0.008942758911815648,1785.3677570819855,v3-3.0.0-dev,9a34e219e66a,0.6430819206171963,1.7688159814818034
v3_a4_retest_A4,403fb928331d5b1d6b4c745161e92a4c8df348677134bb837f2bbb5ebff19353,1000,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.004190124321831108,0.4581260785707035,0.044396706050841395,-0.2751092350481119,0.025794072777604614,-1.2664767133649955,0.016564474541928678,-0.32116690925026936,30436,9112,9851,225185,35,0.009189136165699479,1600.7475740909576,v3-3.0.0-dev,9a34e219e66a,0.8904679727946402,2.8904059931542503
v3_a4_retest_A7,d7d29d9b5daad3f23efe51d166f8bf031d53ff6c99b383dc910b7978e07e035c,1000,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.035419029432186486,0.5457313978276317,0.6882184909078242,-0.056359178969514145,0.023477509797568356,1.3464467860661682,0.014470993173920858,-0.008321522783068191,30436,9112,9851,195021,50,0.0088805940042238,1888.2302498817444,v3-3.0.0-dev,9a34e219e66a,0.603695056339458,1.5642044893584335
v3_a4_retest_A4,c21f1f06b1a1fabc296a6a2cd4efa7ff89a9c08c80d778b0a4f265699c73c0a1,1234,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.06635309022025272,0.49568571718607246,0.2890669719519176,-0.14513808653015747,0.024444162091566742,-0.27489496948370984,0.014299322615631656,0.015460172403284789,30436,9112,9851,225185,46,0.008942297018569073,2045.5736570358276,v3-3.0.0-dev,9a34e219e66a,0.727438838696579,2.1336440375742005
v3_a4_retest_A7,6e89702963ed7d8ca255ed8021bd233300c2368127760d325378b116b6aefe1e,1234,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.02252296756652519,0.4975129428484418,0.5598434999110794,-0.014498935344082975,0.02300763733629394,0.1926834454500383,0.014700838401615948,-0.040606579106908125,30436,9112,9851,195021,62,0.008942272769618589,2287.8473570346832,v3-3.0.0-dev,9a34e219e66a,0.5358846817581971,1.4182264788480319
v3_a4_retest_A4,f7fa869c7c3bece01f601be0bcd8b96ce1321086c0c294a8a68de72d79e3c180,5678,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.018767073510845774,0.4580245660339052,0.008173880735649267,-0.3997553956324591,0.02702541056524149,-1.3215406849516482,0.023356430628768705,-1.626729235199782,30436,9112,9851,225185,34,0.009311467326609858,1509.068979024887,v3-3.0.0-dev,9a34e219e66a,0.9514770074104152,4.01962008742009
v3_a4_retest_A7,fa8f05dde76b9aff98685bebaabedf03a08add0ca224c0e504e924721bf6a24e,5678,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.00013101813066683897,0.535478631611004,0.6804022908227406,-0.0018750455718019587,0.022864041777923595,1.1059216873357287,0.014023447507307378,0.05308292825144523,30436,9112,9851,195021,69,0.008573006256664914,2510.493474006653,v3-3.0.0-dev,9a34e219e66a,0.6372957060196934,1.671546299324763
v3_a4_retest_A7,1686bf044ff61452cc17c681e0a8faa8e496dbfb6413828d9aa17d133c27d8af,9999,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.012443216379415478,0.5383209826413562,0.694478033051189,-0.041522687580371365,0.023312056801085085,1.2694243854545668,0.013929471734275478,0.06573161498606428,30436,9112,9851,195021,48,0.008872665966021001,1748.9793317317963,v3-3.0.0-dev,9a34e219e66a,0.6369911684092986,1.787043598252192
v3_a4_retest_A4,a0c3eeed69a5a82df83832bc5861fd401e9bc36a3265da7737a46febf3be0d54,9999,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.03571447031130296,0.46604405644097047,0.07459535538353272,-0.301789370204373,0.02606253081267454,-1.0680741002054002,0.018545175894633982,-0.6560150283201212,30436,9112,9851,225185,39,0.009350282670790001,1719.6208989620209,v3-3.0.0-dev,9a34e219e66a,0.904882753019998,3.278631535615843
v3_a4_retest_A7,cc7ff6af96e07edb5d5e448910bc400216a3294f6381e2030e2355ab999559bd,789,2,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.002686411479030394,0.49493937268263355,0.3566504978299719,-0.07661264001386581,0.024498853876603614,0.1381829373342326,0.015267137476473703,-0.03724265115053638,38427,10972,9979,195021,36,0.006487955952232457,1652.513601064682,v3-3.0.0-dev,9a34e219e66a,0.6811303737849483,1.8792072903343813
